Region,Population
Île-de-France,12117132
Auvergne-Rhône-Alpes,7916889
Hauts-de-France,6006870
Nouvelle-Aquitaine,5935603
Occitanie,5808435
Grand Est,5555186
Provence-Alpes-Côte d'Azur,5021928
Pays de la Loire,3737632
Normandy,3335929
Brittany,3306529
Bourgogne-Franche-Comté,2818338
Centre-Val de Loire,2577866
Réunion,852924
Guadeloupe,394110
Martinique,376480
Corsica,330455
French Guiana,269352
Mayotte,256518
